aerobe	anaerobe	facultative	MeanDecreaseAccuracy	MeanDecreaseGini
NRDD	0.00462734896353114	0.00586884314462607	0.00124816396707368	0.00449994020070854	3.95414947886047
Biotin_lipoyl	0.00407424365219363	0.00418890945759729	0.000608545923154107	0.0035804610755368	3.79252325030875
Fe-S_biosyn	0.00388705724575454	0.00456235011599829	0.0013858131832657	0.0036935681209708	2.73557082708536
COX1	0.00387782284727	0.00602529603622552	5.08018767574106e-05	0.00394749031649856	3.17272308380986
Gly_radical	0.00359260820150002	0.000840531774439743	0.000599323165905681	0.00226440166369578	1.35715768502546
Abhydrolase_1	0.00349434036903329	0.00221165241094303	0.000623637615550878	0.00263464292661468	1.8491024485657
adh_short	0.00343011891248405	0.00282535328797208	4.25576248354725e-05	0.00271493999473307	1.84374320704758
Acyl-CoA_dh_N	0.00334792982805891	0.00180217517647689	-7.88734220020839e-05	0.00231683675581042	1.48826587733691
FAA_hydrolase	0.0032929840615205	0.00509454837804413	-0.000552470371724451	0.00326294708920625	2.15724964083377
PFL-like	0.00328724819158823	0.000558543849863147	0.000361065091551993	0.00199971439561197	1.30245613268371
COX3	0.00308514364931719	0.00684087566431543	0.000465957444125727	0.00384760087558406	2.88215661129592
FA_desaturase	0.00304160398406334	0.00641629231837453	6.36166803885697e-05	0.00364050366764779	2.85827889490262
adh_short_C2	0.00301626303620733	0.00335791172433184	-0.000340125940644761	0.00261118517009928	1.9542572893279
E3_binding	0.00301512786612672	0.00347685226324486	0.00054120710964539	0.00276580612548805	2.50363641200139
GMC_oxred_C	0.00292547880460671	0.00339368762314918	0.000241182981272682	0.00267272856294166	2.12916309652665
Bac_luciferase	0.00288178555399614	0.00490861131856947	0.000182282031071152	0.0030643145065948	2.05683670395286
POR_N	0.00275112769435977	0.00333237244610564	1.02931288722342e-05	0.00251033198945966	2.47971630026677
Fe_hyd_lg_C	0.00271160246107645	0.00485959697868887	0.000287654814427843	0.00302648313966921	3.57566594269576
Glyoxalase	0.00266635561807424	0.00610261276171758	0.000166036352005914	0.00334832959917958	2.1970918183297
Cytochrome_CBB3	0.00261523878031528	0.00477197216859898	0.000640900067279571	0.00301769558809189	2.25246696485217
Aldedh	0.0026069030829848	0.00478441987695821	0.000382276934844599	0.00294715144981702	2.41647259756718
DAO	0.00252187816426662	0.00354695240594018	0.000638685161067344	0.00255226096369093	2.07763950215447
Rieske	0.00248400017720033	0.00358510764326203	-6.08115382424647e-05	0.00240971103871792	1.36803781350831
2-oxoacid_dh	0.00247347005052747	0.00719614053177656	0.0013404565126068	0.00378631733860948	4.12608453616115
Acyl-CoA_dh_M	0.00235442765662134	0.00161832690854964	-0.000181354678788355	0.00172362203425169	0.876796507530876
YceI	0.00223824994170988	0.00549709758474835	0.000475243325645068	0.00298126506034502	2.20047575048592
DUF2229	0.00221608448610707	0.00264293298874396	0.000812131927099907	0.00213232229206235	2.63347545864858
FeoB_Cyto	0.00217432733845369	0.00192282988900176	0.000264129065031561	0.00178573032631325	1.45116879401727
HGD-D	0.00215082933317752	0.0054701267500854	0.000194825943073491	0.0029159929688995	3.21822408214034
ADH_N	0.00211205212635329	0.000528927517350632	-9.62364629171987e-05	0.00128042257606502	0.726766466780262
Ferrochelatase	0.00207422310699296	0.00265235018614716	0.0010472007893387	0.00209150494512971	2.18575908849065
COX2	0.00200010503413633	0.00647737940343666	0.000480795077774742	0.00316535238827522	2.67845230503698
COX15-CtaA	0.00197827329175158	0.00693796927807725	3.71374349260137e-05	0.00324635835651829	2.29313214470233
Abhydrolase_6	0.00196815776242361	0.00138994526242917	-9.90421578572567e-05	0.00146264653739244	1.03363503437483
Prismane	0.00196663818706007	0.0023781826181029	7.85560319527056e-05	0.00179935359470609	1.68969782983563
3HCDH	0.00195300772621155	0.00230161853059086	0.000737530681777399	0.00187491134571258	2.01857372722169
E1_dh	0.00192239125233284	0.00248355477080949	0.00110773861416999	0.00196875940175347	2.13305028858631
ECH_1	0.00192017150651458	0.00310323670085518	0.000248058888842982	0.00201969450213659	1.63655254565189
Fer4_20	0.0019185254413055	0.00125002838452821	0.000229911327762735	0.00143788423707226	1.16002716833255
ClpS	0.00188019368676185	0.00193045305008817	0.000785634936116662	0.00172702259178279	1.46930524618968
FAD_binding_3	0.0018650790969195	0.00613251820356887	0.00134174599411217	0.00312026979489834	2.31274588483667
Thiolase_C	0.00185051634706549	0.00220340870947399	-0.000158384229186743	0.00165697424306688	1.29047968274408
GMC_oxred_N	0.00182987359644444	0.00134272549858027	0.000290661285732094	0.00143330179838185	0.86130626923161
Thiolase_N	0.00181847576032768	0.00194439745333605	0.000126666846009861	0.00161470750782577	1.44530061277041
Pro_dh	0.00177666268138422	0.00339595765262551	0.000387855895807856	0.00207559477202625	1.98780259447723
PFOR_II	0.00177421607849512	0.00349120864789299	-0.000203219025173318	0.00202132137101038	2.32798660357212
Peptidase_M17	0.00177415900371377	0.00244556350034752	0.00083309103899389	0.00182928686950023	2.09294407510201
Nitro_FeMo-Co	0.00176347148481436	0.00116859277228068	0.000417490872369042	0.0013658644442	1.12706764998064
Fe_hyd_SSU	0.00173516119908719	0.00243227481535304	-0.000128515006638195	0.00166985770352792	2.14705473806378
DNA_ligase_A_C	0.00172977936207869	0.000628585341260075	0.000560938143949879	0.00119931442130394	0.610812644639519
ADH_zinc_N	0.00171159114640842	0.000826962762139782	-6.11820090318846e-05	0.00115253014400264	0.888284294348892
C_GCAxxG_C_C	0.00170901026451889	0.00195427375734313	-0.000246236245003012	0.00149425422397051	1.81980434454109
Fer2_3	0.00168011531497545	0.000451203064955889	1.34088216676142e-05	0.00103244308648374	0.59675209789777
DHODB_Fe-S_bind	0.00167857785289611	0.00580558117738915	0.000585176323062784	0.00282377805152043	3.29455481441277
Radical_SAM_C	0.00162301048907129	0.000731731928708244	-8.32307414513424e-05	0.00108507444511167	0.762109764310373
3HCDH_N	0.00161521564986725	0.00112994149867299	0.000489869832310244	0.00129293338933956	0.961226443853149
EKR	0.00159717481182075	0.0022183070065938	-9.39362039285795e-05	0.00154427410686864	1.23035362804985
FAD_binding_6	0.00158738650426366	0.00127420426380718	0.000302202848882019	0.0012955731502967	0.807586251697738
Cytochrom_C_asm	0.00158677417207737	0.00182976601079922	0.000965896675768033	0.00158578997685237	1.26158716230463
ACAS_N	0.00158410482816742	0.000929658382603064	-0.000395626222871664	0.0010730785872949	0.487317758647971
Pyrophosphatase	0.00156320331154369	0.00173734796833835	-0.000110003046081194	0.00135765309387149	1.21202996154701
Desulfoferrodox	0.00155240969192611	0.00254538919215109	0.000715514991343776	0.00173453669180892	2.5208138795072
Fer4	0.00154727301777653	0.00263428595796181	0.000477316804812097	0.00172227629549351	2.13646799281124
MFS_1	0.00148913927163353	0.000930925286505462	-0.000108329920821144	0.00106931613151588	0.826027670644951
Acyl-CoA_dh_2	0.00148886523787236	0.00171176933489393	-0.000276499873882466	0.00128937409608205	1.04052386607799
PurK_C	0.00147929734000994	0.00305193851184949	0.00030535091689985	0.00179533150670048	1.62718696739824
PTS_EIIB	0.00140803802957702	0.000233957276632793	0.000861453420875927	0.000954068137208222	0.918457015879081
Rubrerythrin	0.00138774175280692	0.0043453399087117	0.000526472806731281	0.00217584265921614	2.63610047229916
TatA_B_E	0.00137335438604921	0.00141422148841254	0.000995850650210259	0.00132071269898896	1.39714296862424
UPF0176_N	0.00135609107904656	0.0101989484666236	0.000177902052521542	0.00396171524923834	2.93812295007051
Sdh_cyt	0.00135315279967506	0.00359645125057116	0.000651584150582507	0.00195729354967095	1.74335903507688
2-oxogl_dehyd_N	0.00134776880937606	0.00725196493134611	0.000708411826568771	0.00308260778166563	2.45193715505439
URO-D	0.00133910313021866	0.000801610335094448	0.000739222907413742	0.00108050951527334	1.231498741106
PNP_phzG_C	0.00133305690010654	0.00262771778382797	0.000550559669847714	0.00162002578042376	1.36011770456362
TetR_N	0.00133250250930939	0.000548504043608587	8.23822733285608e-05	0.000884295267974265	0.944471464347856
Amidohydro_2	0.00132999864572303	0.000412669868003684	0.000155621583566837	0.000848396622965875	0.43795800934287
OxoGdeHyase_C	0.00132740569850267	0.00417724577421433	0.000654574393380069	0.00210599608386876	2.13607476392929
SnoaL_2	0.00129564251807159	0.000871724058008418	-0.000198285966168396	0.000927770219934286	0.571985001108429
Epimerase	0.00128759514218102	0.000560940474539909	-0.000287684128954425	0.00081201537889303	0.43558273343046
AMMECR1	0.00127535863062896	0.00094677544149245	0.000221445731406909	0.0010171974162327	1.07659594427171
TatC	0.00122439619997389	0.00132298324255748	-1.891559210514e-05	0.00106524951814934	0.869799697031275
Sigma70_r2	0.00121150235453794	0.000608048878807003	0.000116304493390209	0.000852255928440636	0.536217417455101
FTHFS	0.00120844528796388	0.00124117197037551	0.000175100770577936	0.00106504942038319	0.912863550361671
Pirin	0.00120652944134666	0.00138862183109002	2.83774371762624e-05	0.00108074306003079	1.16492842611657
Hydrolase_3	0.00120304352715888	0.000328246031056611	0.000412363117919879	0.000794566679979758	0.683125435749377
BcrAD_BadFG	0.00118808616119731	0.00212175211367141	0.000338942109495779	0.00134551877147726	1.53469322717426
Fapy_DNA_glyco	0.00118627317010645	0.00206131924091978	0.000641629733629103	0.00138359934575648	1.51824080634575
HydF_tetramer	0.00116029733505177	0.00117491592237508	0.000176040425145519	0.00100395659732645	1.3098309436515
DLH	0.00114551488746206	0.000935668806234636	-8.01234529656905e-06	0.000900955504239246	0.768115254395303
DUF179	0.00112403286340766	0.00189111526102856	0.000664296427579649	0.00129865474850444	1.1281928153157
Pirin_C	0.00110040324493422	0.000881137715482522	2.21685538559797e-05	0.000862295848314619	0.962138071355174
Bac_globin	0.00109979595622066	0.00375284010605454	0.00032470989033308	0.00181254576952901	1.33603194089264
DAO_C	0.00109490708773079	0.00260726441684922	0.000573281066372224	0.00147995498339186	1.31013623635449
Radical_SAM	0.0010940624481586	0.00209145751849063	-7.12015391985531e-05	0.00123191329700482	1.1934026415717
H2TH	0.00109242247587817	0.00196544960189657	0.000535694704120908	0.0012893011402473	1.11994572483543
5TM-5TMR_LYT	0.0010888752854742	0.000360998670166522	0.00171737141438738	0.000952578748196594	0.826915386576784
HisKA	0.00107528493636054	0.000439664395969742	-9.28065112941956e-05	0.000698913981972785	0.639379233982553
Sod_Fe_N	0.00107393974619168	0.00195078439421537	0.000551293068809446	0.00126225897522118	1.65654216960978
POR	0.00107220889171227	0.00226395888141332	0.000137308785372672	0.00129630071206449	1.38635805401569
GSDH	0.00104943122999019	0.00324109353936542	0.00048670310717637	0.0016535755968632	1.26167886521185
Aminotran_3	0.00104736559662438	0.000527874710364763	0.000344185498683049	0.000774544959888697	0.745471342048247
HydF_dimer	0.00102639869731822	0.00153320668310683	0.000251908675893392	0.00105883044954494	1.51865202372304
DSBA	0.00101719984368851	0.00270925337586334	0.00061147881141804	0.00147580187992699	1.55947570171398
AMP-binding_C	0.00101045757610379	0.000765237352466965	6.65939958204263e-05	0.000793831926646869	0.601773105392847
Sigma70_r4_2	0.000997883911846712	0.000410440307624891	0.000184036009787207	0.000697022309301989	0.554006777370703
Acyl-CoA_dh_1	0.00099698159563948	0.000809462745845643	0.000191520042176585	0.000812639891856632	0.498277408119415
Fer4_9	0.00099374743862414	0.0013627151196281	0.000100948544777044	0.000970634514803255	1.18881893072533
Sod_Fe_C	0.000990008089144804	0.001216892208468	0.000395355754809233	0.000973133018522247	1.63872551648118
DUF362	0.000985219046401074	0.00134010743424211	0.000526876879075042	0.00102226365785483	1.61333748588705
DUF2179	0.000984226057071925	0.000942197665213028	0.000337383651831668	0.000880693037584389	0.830572468009831
DUF134	0.000976033874634995	0.000316789761933108	-0.000107368816205707	0.00059880142278244	0.429923411088618
Pro_CA	0.000951238451803934	0.000871460247980117	-6.66350507750382e-05	0.000774043467387355	0.636674158704676
ALAD	0.000929305442905262	0.000512803505922155	0.0002464871090182	0.000689945635272601	0.511749262401901
